set_number,title,theme,subtheme,actual_growth,is_avoid,avoid_prob,shelf_life_months,retire_quarter,retires_before_q4
43284,Mini Anna & Elsa,Disney,Mini Disney Princess,13.44,0,0.299406939214538,,,
43291,LEGO Disney Princess 43291 Mini Belle & Tiana with Castle,Disney,Mini Disney Princess,13.44,0,0.05502716233142679,,,
43288,LEGO Disney Classic 43288 Sally's Flowerpot,Disney,The Nightmare Before Christmas,5.16,0,0.34648996479853533,,,
42659,LEGO Friends 42659 Friendship Road-Trip Travel Car,Friends,Great Outdoors,2.34,1,0.9937057366610031,,,
42685,LEGO Friends 42685 Heartlake City Fashion Show,Friends,Heartlake City,3.23,1,0.9858607657452407,,,
42644,LEGO Friends 42644 Heartlake City Ice Cream Truck,Friends,Traffic,2.59,1,0.9649996293804969,,,
42680,LEGO Friends 42680 Heartlake City Convenience Store,Friends,Heartlake City,3.23,1,0.9826057713086025,,,
42692,Ice Cream & Balloon Stand,Friends,Park,3.46,1,0.9929879677858063,,,
42699,LEGO Friends 42699 Beach House with Seals,Friends,Beach,2.75,1,0.9937950155711338,,,
21271,The Trial Chamber,Minecraft,Minifig-scale,5.51,0,0.3730551140868181,,,
76973,Raptor & Titanosaurus Tracking Mission,Jurassic World,Rebirth,6.21,0,0.6034203356439858,,,
11204,Mermaid Gabby's Aquarium Adventure,Gabby's Dollhouse,The Movie,1.33,1,0.5996944221648132,,,
76972,LEGO Jurassic World 76972 Raptor Off-Road Escape,Jurassic World,Rebirth,6.21,0,0.7014418568269583,,,
75443,LEGO Star Wars 75443 Grogu's Homestead,Star Wars,The Mandalorian,4.74,1,0.9441840094139707,,,
76311,LEGO Super Heroes 76311 Spider-Verse: Miles Morales vs. The Spot,Super Heroes,Spider-Man,9.24,0,0.0896912103358608,,,
21590,Wither Battle,Minecraft,Minifig-scale,5.51,0,0.30332153814513785,,,
21589,LEGO Minecraft 21589 Mini Biomes,Minecraft,Microscale,5.32,0,0.5025633442003646,,,
21585,Chicken Farm,Minecraft,Minifig-scale,5.51,0,0.21080023205973067,,,
21584,Nether & End Portal Journey,Minecraft,Minifig-scale,5.51,0,0.1491442766501894,,,
21586,The Pale Garden,Minecraft,Minifig-scale,5.51,0,0.2862795101619983,,,
71848,The Temple Bounty,NINJAGO,Dragons Rising Season 3,4.74,1,0.5951189302301809,,,
71845,Lloyd's Jet Mech,NINJAGO,Dragons Rising Season 3,4.74,1,0.8015379865178187,,,
71853,LEGO Ninjago 71853 Jay's Dragon Mech Fight,NINJAGO,Dragons Rising Season 4,4.74,1,0.702079863956381,,,
71850,LEGO Ninjago 71850 Lloyd vs. Earth Monster Spinner,NINJAGO,Monster Spinners,4.74,1,0.8627446508124214,,,
71830,LEGO Ninjago 71830 Kai's Mech Storm Rider,Ninjago,Dragons Rising Season 3,4.74,1,0.8615546457103598,,,
60463,LEGO City 60463 Fire Ladder Truck,Town,Fire,3.18,1,0.8172415405918256,,,
71849,LEGO Ninjago 71849 Nya vs. Mutation Monster Spinner,NINJAGO,Monster Spinners,4.74,1,0.8376373893461546,,,
71843,LEGO Ninjago 71843 Rogue's Mech Dragon Rider,NINJAGO,Dragons Rising Season 3,4.74,1,0.9470384892207967,,,
76917,LEGO Speed Champions 76917 2 Fast 2 Furious Nissan Skyline GT-R (R34),Speed Champions,Nissan,5.9,0,0.4965285918790971,,,
77244,Mercedes-AMG PETRONAS F1 Team W15 E Performance,Speed Champions,Formula 1,4.74,1,0.9185574520801316,,,
77118,LEGO Sonic 77118 Silver's Car vs. Knuckles' Monster Truck,Sonic the Hedgehog,Sonic Racing CrossWorlds,13.31,0,0.30744324596612915,,,
76934,LEGO Speed Champions 76934 Ferrari F40 Supercar,Speed Champions,Ferrari,6.7,0,0.2001161625173978,,,
40816,LEGO Iconic 40816 Decorative Easter Egg,Seasonal,Easter,5.64,0,0.08856697311961252,,,
40824,LEGO Iconic 40824 Sweetheart Tweety Bird,Seasonal,Valentine's Day,5.76,0,0.34580404182627594,,,
40808,LEGO Iconic 40808 Easter Bunny and Chick Egg Hunt,Seasonal,Easter,5.64,0,0.05735503892567978,,,
71866,Ninja Character Display,NINJAGO,Legacy,7.88,0,0.04666889860895543,,,
76323,LEGO Super Heroes 76323 Avengers: Endgame Final Battle,Super Heroes Marvel,Avengers,6.11,0,0.24391681880231303,,,
76329,LEGO Super Heroes 76329 Miles Morales' Mask,Super Heroes Marvel,Spider-Man,9.24,0,0.07810802237238694,,,
76341,LEGO Super Heroes 76341 Ravager Jumpsuit Groot,Super Heroes,Guardians of the Galaxy Vol. 2,5.38,0,0.5021469813028038,,,
76297,Dancing Groot,Super Heroes Marvel,Guardians of the Galaxy,5.94,0,0.07094524309053359,,,
76330,LEGO Super Heroes 76330 Batman Logo,Super Heroes,Batman,6.44,0,0.0377611639811853,,,
76315,LEGO Super Heroes 76315 Iron Man's Laboratory: Hall of Armor,Super Heroes Marvel,Iron Man 3,4.02,1,0.6312738909698365,,,
76333,Batman & Robin Batmobile,Super Heroes,Legendary Batmobile Collection,5.6,0,0.29805930621156707,,,
76337,LEGO Super Heroes 76337 Miles Morales Mech vs. Spider-Man 2099,Super Heroes,Spider-Man,9.24,0,0.08211181257736716,,,
76334,Epic Battle: Spider-Man vs. Sandman,Super Heroes,Spider-Man,9.24,0,0.23584038159906892,,,
76331,LEGO Super Heroes 76331 Batman v Superman Batmobile,Super Heroes,Legendary Batmobile Collection,5.6,0,0.39239420880088954,,,
60452,Donut Truck,Town,Great Vehicles,3.52,1,0.7872314437559179,,,
60467,Tow Truck,Town,Traffic,4.96,1,0.7982360118588496,,,
72031,Yoshi Bike,Super Mario,Mario Kart,7.13,0,0.18917479849402474,,,
60473,The City Tower,Town,General,3.79,1,0.9270337586721519,,,
72036,LEGO Super Mario 72036 Mario Kart - Baby Peach & Grand Prix Set,Super Mario,Mario Kart,7.13,0,0.2793759394413595,,,
71426,Piranha Plant,Super Mario,Miscellaneous,5.67,0,0.43321978245463094,,,
60490,LEGO City 60490 Snowplow toys for kids,Town,Traffic,4.96,1,0.7876667806648999,,,
60483,LEGO City 60483 Rides - Construction Loader,Town,Rides,3.9,1,0.9315559356358826,,,
71439,Adventures with Interactive LEGO Mario,Super Mario,Starter Course,7.13,0,0.5506055100593189,,,
72038,LEGO Super Mario 72038 Mario Kart - Wario & King Boo,Super Mario,Mario Kart,7.13,0,0.43890004010339,,,
60505,"LEGO City 60505 Airplane, Service Truck & Hovercraft Remix",Town,Mix & Match,3.9,1,0.9104899416079479,,,
10914,LEGO DUPLO Classic 10914 Deluxe Brick Box,Duplo,,4.74,1,0.8997806257419643,36.00525624178712,1.0,1.0
76922,BMW M4 GT3 & BMW M Hybrid V8,SPEED CHAMPIONS,BMW,6.42,0,0.04710878349991041,21.02496714848883,4.0,0.0
71490,LEGO DREAMZzz Izzie and Bunchurro the Gaming Bunny 71490,DREAMZzz,Season 3,3.56,1,0.7872585856324213,10.972404730617608,4.0,0.0
75681,"Glinda, Elphaba & Nessarose at Shiz Uni",Wicked,Part One,1.74,1,0.8787785445835176,,,
75682,Elphaba & Glinda Figures,Wicked,Part One,1.74,1,0.9376901331167954,,,
60498,LEGO City 60498 Tractor toys for kids,Town,Farm,4.94,1,0.9448817689065884,,,
60485,LEGO City 60485 Hot Rod Purple And Green Color,Town,Racing,5.78,0,0.41556243103714285,,,
60486,LEGO City 60486 EV Supercar,Town,Traffic,4.96,1,0.5797906314425456,,,
60500,The LEGO Van,Town,Traffic,4.96,1,0.893540950930706,,,
60503,LEGO City 60503 Coast Guard Helicopter,Town,Coast Guard,3.59,1,0.9096955579927174,,,
10468,LEGO DUPLO Peppa Pig 10468 Tractor and Market,DUPLO,Peppa Pig,4.51,1,0.5483143768816671,,,
75405,LEGO Star Wars 75405 Home One Starcruiser,Star Wars,Starship Collection,4.74,1,0.20964302268646642,,,
42226,LEGO Technic 42226 BMW M4 GT3 EVO Race Car,Technic,Licensed,3.56,1,0.938472543143412,,,
43221,LEGO Disney Classic 100 Years of Disney Animation Icons 43221,Disney,Disney 100,12.08,0,0.07628038014188342,22.010512483574242,2.0,1.0
10467,LEGO DUPLO Peppa Pig 10467 Family House,DUPLO,Peppa Pig,4.51,1,0.5893161332956144,,,
11376,Ford Model T,Creator,Vehicles,6.47,0,0.2402108658381477,,,
10465,LEGO DUPLO Disney 10465 Mickey Mouse Clubhouse with Minnie & Pluto,DUPLO,Mickey Mouse Clubhouse,5.3,0,0.7956885390340485,,,
77255,LEGO Speed Champions 77255 Lightning McQueen,SPEED CHAMPIONS,Disney,6.61,0,0.03951006744818528,,,
77252,LEGO Speed Champions 77252 APXGP Team Race Car from F1 The Movie,SPEED CHAMPIONS,F1 The Movie,6.61,0,0.18992875487652897,,,
11375,LEGO Formula 1 Ferrari F2004 & Michael Schumacher,Creator,Formula 1,5.99,0,0.8839294899151886,,,
43247,LEGO Disney Classic 43247 Young Simba the Lion King,Disney,The Lion King,5.16,0,0.2434989539815363,,,
77117,LEGO Sonic 77117 Sonic: Speedster Lightning,Sonic the Hedgehog,Sonic Racing CrossWorlds,13.31,0,0.03338270969873333,,,
60484,LEGO City 60484 Rides - Gaming Race Car,Town,Rides,3.9,1,0.9386427220667194,,,
75374,LEGO Star Wars 75374 The Onyx Cinder,Star Wars,Skeleton Crew,6.49,0,0.12126870619954223,15.013140604467806,4.0,0.0
43239,LEGO Disney Mirabel's Photo Frame and Jewellery Box 43239,Disney,Encanto,3.59,1,0.8547726908901991,15.99868593955322,3.0,1.0
76443,Hagrid & Harry's Motorcycle Ride,Harry Potter,,5.74,0,0.178288289081207,,,
76282,LEGO Super Heroes 76282 Rocket & Baby Groot,Super Heroes,Guardians of the Galaxy,6.83,0,0.04350698980721491,22.010512483574242,4.0,0.0
75387,Boarding the Tantive IV,Star Wars,Episode IV,6.31,0,0.07561099072200389,19.021024967148488,4.0,0.0
80055,LEGO Monkie Kid 80055 Monkie Kid's Team Power Truck,Monkie Kid,Season 5,5.99,0,0.4118248222496501,,,
71812,LEGO Ninjago Kai's Ninja Climber Mech 71812,NINJAGO,Dragons Rising Season 2,6.78,0,0.22567906877499103,21.02496714848883,4.0,0.0
10314,LEGO Icons Dried Flower Centerpiece 10314,Botanicals,Botanical Collection,4.6,1,0.14519371050452629,22.996057818659658,1.0,1.0
71421,LEGO Dixie Kong's Jungle Jam Expansion Set 71421,Super Mario,Donkey Kong,2.14,1,0.3857507176383071,14.027595269382392,4.0,0.0
40573,LEGO Christmas Tree 40573,Holiday & Event,Christmas,4.85,1,0.08066593293157884,38.009198423127465,4.0,0.0
75683,Glinda & Elphaba's Dormitory,Wicked,Part One,2.0,1,0.8995278376422379,13.009198423127463,4.0,0.0
40747,Daffodils,Creator,Botanical Collection,4.6,1,0.8705683270541266,22.996057818659658,4.0,0.0
42159,Yamaha MT-10 SP,Technic,Licensed,4.09,1,0.9277053050075573,27.036793692509853,4.0,0.0
76445,LEGO Harry Potter 76445 Hogwarts Castle: Herbology Class,Harry Potter,,5.74,0,0.17679804549223146,,,
31217,The Fauna Collection - Tiger,Art,The Fauna Collection,5.74,0,0.09456205098707018,,,
41425,Olivia's Flower Garden,Friends,Science,3.63,1,0.9650645337284587,17.017082785808146,4.0,0.0
76440,LEGO Harry Potter 76440 Triwizard Tournament: The Arrival,Harry Potter,Goblet of Fire,6.69,0,0.0623861702026873,18.00262812089356,4.0,0.0
71380,Master Your Adventure - Maker Set,Super Mario,Maker Set,8.199999809265137,0,0.3481221118782536,,3.0,1.0
31152,Space Astronaut,Creator,3 in 1,3.72,1,0.9423719493296207,,,
31148,Retro Roller Skate,Creator,3 in 1,3.72,1,0.9246105526081766,,,
76458,LEGO Harry Potter 76458 Thestral Family,Harry Potter,,5.74,0,0.21581049872635238,,,
31141,LEGO Main Street 31141,Creator,3 in 1,4.27,1,0.9006648197249645,20.006570302233904,2.0,1.0
43270,LEGO Disney Princess 43270 Moana's Adventure Canoe,Disney,Moana 2,5.16,0,0.2194129889609558,,,
43262,LEGO Disney Classic 43262 Maleficent's and Cruella De Vil's Dresses,Disney,Dresses,5.16,0,0.38771146393266276,,,
10313,LEGO Botanicals 10313 Wildflower Bouquet,Icons,Botanical Collection,4.74,1,0.8764816948939428,,,
75384,LEGO Star Wars 75384 The Crimson Firehawk,Star Wars,Young Jedi Adventures,4.6,1,0.7756132048254731,22.010512483574242,4.0,0.0
71456,LEGO Mrs. Castillo's Turtle Van 71456,DREAMZzz,Trials of the Dream Chasers,4.88,1,0.5264223503676689,15.045992115637318,4.0,0.0
71480,LEGO DREAMZzz Logan the Mighty Panda 71480,DREAMZzz,Season 2 Night of the Never Witch,2.09,1,0.8710178140650195,15.99868593955322,4.0,0.0
60305,Car Transporter,Town,Traffic,5.28,0,0.4054377267148557,,3.0,1.0
75248,Resistance A-Wing Starfighter,Star Wars,The Rise of Skywalker,8.539999961853027,0,0.05100435308412084,,3.0,1.0
76173,Spider-Man and Ghost Rider vs. Carnage,Super Heroes,Spider-Man,19.889999389648438,0,0.03797234099001784,,3.0,1.0
10696,LEGO Classic 10696 LEGO Medium Creative Brick Box,Classic,Creative Box,1.6,1,0.9323444793715048,,,
31113,Race Car Transporter,Creator,3 in 1,9.03,0,0.4143874914004659,,4.0,0.0
10273,Haunted House,Creator,Fairground,7.7,0,0.19146720895082314,,,
10275,Elf Club House,Creator,Winter Village,12.62,0,0.058612212528651154,,4.0,0.0
77246,LEGO Speed Champions 77246 Visa Cash App RB VCARB 01 F1 Race Car,Speed Champions,Formula 1,4.74,1,0.9079336036815194,,,
40709,LEGO Iconic 40709 Spring Animal Playground,Holiday & Event,Easter,6.48,0,0.03536713310725924,22.010512483574242,4.0,0.0
76442,LEGO Harry Potter 76442 Hogwarts Castle: Charms Class,Harry Potter,Philosopher's Stone,5.92,0,0.19024259066130145,,,
10915,Alphabet Truck,DUPLO,,10.58,0,0.06711235340009176,,1.0,1.0
10909,Heart Box,DUPLO,,9.89,0,0.21922693169089796,,1.0,1.0
10917,Fire Truck,DUPLO,,10.14,0,0.07913255325774057,14.98028909329829,2.0,1.0
10920,Elsa and Olaf's Tea Party,DUPLO,,15.28,0,0.09449697672514715,36.00525624178712,1.0,1.0
10919,Batcave,DUPLO,Batman,10.92,0,0.07354625592494235,17.017082785808146,4.0,0.0
10921,Super Heroes Lab,DUPLO,Marvel Super Hero Adventures,10.96,0,0.08321231937185418,,,
10922,Ariel's Undersea Castle,DUPLO,Disney Princess,17.99,0,0.03854054115569065,18.00262812089356,4.0,0.0
10924,Lightning McQueen's Race Day,DUPLO,,11.24,0,0.12684578046855394,15.99868593955322,4.0,0.0
10925,Playroom,DUPLO,,9.25,0,0.08420126170473072,20.992115637319316,4.0,0.0
10926,Bedroom,DUPLO,,11.8,0,0.12192829594011463,,,
10927,Pizza Stand,DUPLO,,7.43,0,0.048797236611675635,24.014454664914584,1.0,1.0
10928,Bakery,DUPLO,,6.48,0,0.3304992788865284,,,
10929,Modular Playhouse,DUPLO,,11.0,0,0.2940150909277801,34.00131406044678,4.0,0.0
10930,Bulldozer,DUPLO,,10.21,0,0.05046205143030289,,,
10931,Truck & Tracked Excavator,DUPLO,,4.74,1,0.49964414473131247,65.01314060446781,4.0,0.0
10932,Wrecking Ball Demolition,DUPLO,,18.12,0,0.12896970416469317,17.017082785808146,4.0,0.0
10933,Tower Crane & Construction,DUPLO,,10.36,0,0.17067181225778957,29.00788436268068,4.0,0.0
11006,Creative Blue Bricks,Classic,,13.06,0,0.08475767101862167,,1.0,1.0
10934,Creative Animals,DUPLO,,0.87,1,0.8439234210974328,,4.0,0.0
11007,Creative Green Bricks,Classic,,14.18,0,0.27893456330736677,,,
11008,Bricks and Houses,Classic,,4.06,1,0.5627238831590805,,1.0,1.0
11009,Shadow Theatre,Classic,,2.36,1,0.8300209139338613,25.952693823915897,1.0,1.0
11011,Bricks and Animals,Classic,,7.99,0,0.2808395702854131,,1.0,1.0
11717,Bricks Bricks Plates,Classic,,8.24,0,0.3426572101956348,32.03022339027595,1.0,1.0
21051,Tokyo,Architecture,Skylines,16.22,0,0.07698678469081649,,,
21052,Dubai,Architecture,Skylines,10.25,0,0.03773920218083351,,,
60481,LEGO City 60481 Rides - Police Truck,Town,Rides,3.9,1,0.935632172842305,,,
60487,LEGO City 60487 Yellow Taxi,Town,Traffic,4.96,1,0.7819798033921027,,,
31376,LEGO Creator 31376 Cute Hamster with a Flower,Creator,3 in 1,3.72,1,0.9346854419969897,,,
77251,LEGO Speed Champions 77251 McLaren F1 Team MCL38 Race Car,Speed Champions,Formula 1,4.74,1,0.9202902474821808,,,
21156,BigFig Creeper and Ocelot,Minecraft,BigFigs Series 2,11.71,0,0.05126900136696303,,,
21157,BigFig Pig with Baby Zombie,Minecraft,BigFigs Series 2,4.77,1,0.009053782871234033,,,
21158,The Panda Nursery,Minecraft,Minifig-scale,7.12,0,0.13623622107890196,,,
21159,The Pillager Outpost,Minecraft,Minifig-scale,12.26,0,0.27021723180148305,,,
21160,The Illager Raid,Minecraft,Minifig-scale,8.94,0,0.17166279127702608,,,
21161,The Crafting Box 3.0,Minecraft,Minifig-scale,4.39,1,0.46025628126319595,31.011826544021023,1.0,1.0
21162,The Taiga Adventure,Minecraft,Minifig-scale,10.84,0,0.041506464768578055,,,
21163,The Redstone Battle,Minecraft,Minifig-scale,35.4,0,0.1750947825581402,20.039421813403415,1.0,1.0
21165,The Bee Farm,Minecraft,Minifig-scale,19.22,0,0.05680228809167105,23.98160315374507,4.0,0.0
21166,"The ""Abandoned"" Mine",Minecraft,Minifig-scale,9.28,0,0.38074791573381767,47.99605781865966,4.0,0.0
21167,The Trading Post,Minecraft,Minifig-scale,2.7,1,0.20630741236441533,23.98160315374507,4.0,0.0
21321,International Space Station,LEGO Ideas (CUUSOO),NASA,18.89,0,0.04280666661346939,,,
21322,Pirates of Barracuda Bay,LEGO Ideas (CUUSOO),,15.42,0,0.016945089741716903,19.021024967148488,4.0,0.0
77001,LEGO Sonic 77001 Sonic's Campfire Clash,Sonic the Hedgehog,Modern Games,10.33,0,0.0989268198077444,,,
60478,LEGO City 60478 Cement Mixer,Town,Construction,3.27,1,0.8983668427437724,,,
72032,LEGO Super Mario 72032 Mario Kart - Standard Kart,Super Mario,Mario Kart,7.13,0,0.35229297973922014,,,
40372,Police Minifigure Accessory Set blister pack,Town,Police,4.940000057220459,1,0.689636902043755,,,
40374,Golden Zane Accessory Set blister pack,NINJAGO,Rebooted,9.850000381469727,0,0.07673813947760214,21.02496714848883,4.0,0.0
77250,LEGO Speed Champions 77250 MoneyGram Haas F1 Team VF-24 Race Car,Speed Champions,Formula 1,4.74,1,0.911611742420877,,,
60499,LEGO City 60499 Airport Fire Truck,Town,Airport,3.63,1,0.946986550671169,,,
30628,The Monster Book of Monsters,Harry Potter,Promotional,15.44,0,0.026014600698814627,,,
31099,Propeller Plane,Creator,3 in 1,7.73,0,0.20812628708336517,,,
31100,Sports Car,Creator,3 in 1,9.15,0,0.2828287325174942,,4.0,0.0
31101,Monster Truck,Creator,3 in 1,1.49,1,0.8007021240731511,,,
31103,Rocket Truck,Creator,3 in 1,4.27,1,0.9168489882829768,,,
31102,Fire Dragon,Creator,,12.13,0,0.16252339507401076,,,
31104,Monster Burger Truck,Creator,3 in 1,2.68,1,0.9542274067539418,,,
31105,Townhouse Toy Store,Creator,3 in 1,3.58,1,0.8831457173895024,,,
31107,Space Rover Explorer,Creator,3 in 1,5.52,0,0.39368174982854165,18.00262812089356,4.0,0.0
31108,Caravan Family Holiday,Creator,3 in 1,1.36,1,0.7538568842835568,29.993429697766096,4.0,0.0
31109,Pirate Ship,Creator,3 in 1,4.27,1,0.8881639713882914,65.01314060446781,4.0,0.0
31197,Warhol Marilyn Monroe,Art,Pop Art,6.86,0,0.049715876133154605,,,
31198,The Beatles,Art,,11.7,0,0.07635803115571743,15.013140604467806,4.0,0.0
31199,Iron Man,Art,,11.8,0,0.03200289439410432,17.017082785808146,1.0,1.0
31200,The Sith,Art,,10.48,0,0.0333008087449517,18.95532194480946,1.0,1.0
40377,Donald Duck,BrickHeadz,Disney,35.4,0,0.010356493004381328,,,
40378,Pluto & Goofy,BrickHeadz,Disney,24.38,0,0.006986215696724542,,,
40379,Bear,BrickHeadz,Seasonal,17.72,0,0.11965966400878458,,3.0,1.0
40380,Sheep,BrickHeadz,Seasonal,7.16,0,0.08498320312730302,,,
40381,Monkey King,BrickHeadz,Monkie Kid,14.55,0,0.01566883300618233,,,
40383,Bride,BrickHeadz,Miscellaneous,6.89,0,0.01640441560169916,,,
40382,Birthday Set,Holiday & Event,Birthday,35.4,0,0.009254615887520821,,1.0,1.0
40384,Groom,BrickHeadz,Miscellaneous,11.06,0,0.017530585364545815,,4.0,0.0
11039,LEGO Classic 11039 Creative Food Friends,Classic,,5.12,0,0.2534166549954063,,,
